version,1.3.0
info,team,Bahamas
info,team,Bermuda
info,gender,male
info,season,2010
info,date,2010/05/28
info,competition,ICC World Cricket League Americas Region Division One 2010
info,venue,National Stadium
info,city,Hamilton
info,toss_winner,Bermuda
info,toss_decision,field
info,player_of_match,K Tucker
info,umpire,H Smythe
info,umpire,K Bayney
info,reserve_umpire,R Austin
info,match_referee,AFG Griffith
info,winner,Bermuda
info,winner_wickets,7
ball,1,12.6,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,12.7,Bahamas,H Gilliard,DG Weakley,MO Jones,0,0,"",""
ball,1,13.1,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,13.2,Bahamas,DG Weakley,H Gilliard,K Tucker,0,2,"",""
ball,1,13.3,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,13.4,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,13.5,Bahamas,DG Weakley,H Gilliard,K Tucker,0,0,"",""
ball,1,13.6,Bahamas,DG Weakley,H Gilliard,K Tucker,1,0,"",""
ball,1,14.1,Bahamas,DG Weakley,H Gilliard,JJ Tucker,0,0,"",""
ball,1,14.2,Bahamas,DG Weakley,H Gilliard,JJ Tucker,2,0,"",""
ball,1,14.3,Bahamas,DG Weakley,H Gilliard,JJ Tucker,1,0,"",""
ball,1,14.4,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,14.5,Bahamas,H Gilliard,DG Weakley,JJ Tucker,1,0,"",""
ball,1,14.6,Bahamas,DG Weakley,H Gilliard,JJ Tucker,0,0,"",""
ball,1,15.1,Bahamas,H Gilliard,DG Weakley,K Tucker,0,0,"",""
ball,1,15.2,Bahamas,H Gilliard,DG Weakley,K Tucker,0,0,"",""
ball,1,15.3,Bahamas,H Gilliard,DG Weakley,K Tucker,0,0,"",""
ball,1,15.4,Bahamas,H Gilliard,DG Weakley,K Tucker,0,0,"",""
ball,1,15.5,Bahamas,H Gilliard,DG Weakley,K Tucker,0,1,"",""
ball,1,15.6,Bahamas,H Gilliard,DG Weakley,K Tucker,1,0,"",""
ball,1,15.7,Bahamas,DG Weakley,H Gilliard,K Tucker,2,0,"",""
ball,1,16.1,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,16.2,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,16.3,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,16.4,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,16.5,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,16.6,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,17.1,Bahamas,DG Weakley,H Gilliard,J West,0,0,"",""
ball,1,17.2,Bahamas,DG Weakley,H Gilliard,J West,2,0,"",""
ball,1,17.3,Bahamas,DG Weakley,H Gilliard,J West,0,0,"",""
ball,1,17.4,Bahamas,DG Weakley,H Gilliard,J West,0,0,"",""
ball,1,17.5,Bahamas,DG Weakley,H Gilliard,J West,0,0,"",""
ball,1,17.6,Bahamas,DG Weakley,H Gilliard,J West,0,1,"",""
ball,1,17.7,Bahamas,DG Weakley,H Gilliard,J West,2,0,"",""
ball,1,18.1,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,18.2,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,18.3,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,18.4,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,18.5,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,"",""
ball,1,18.6,Bahamas,H Gilliard,DG Weakley,JJ Tucker,0,0,caught,H Gilliard
ball,1,19.1,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,19.2,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,19.3,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,19.4,Bahamas,NH Ekanayake,DG Weakley,J West,0,1,"",""
ball,1,19.5,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,19.6,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,19.7,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,20.1,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,1,0,"",""
ball,1,20.2,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,1,"",""
ball,1,20.3,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,20.4,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,20.5,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,20.6,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,21.1,Bahamas,NH Ekanayake,DG Weakley,J West,2,0,"",""
ball,1,21.2,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,21.3,Bahamas,NH Ekanayake,DG Weakley,J West,0,1,"",""
ball,1,21.4,Bahamas,NH Ekanayake,DG Weakley,J West,4,0,"",""
ball,1,21.5,Bahamas,NH Ekanayake,DG Weakley,J West,0,1,"",""
ball,1,21.6,Bahamas,NH Ekanayake,DG Weakley,J West,1,0,"",""
ball,1,21.7,Bahamas,DG Weakley,NH Ekanayake,J West,1,0,"",""
ball,1,21.8,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,22.1,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,22.2,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,1,0,"",""
ball,1,22.3,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,0,"",""
ball,1,22.4,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,0,"",""
ball,1,22.5,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,0,"",""
ball,1,22.6,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,0,"",""
ball,1,23.1,Bahamas,DG Weakley,NH Ekanayake,J West,0,0,"",""
ball,1,23.2,Bahamas,DG Weakley,NH Ekanayake,J West,0,0,"",""
ball,1,23.3,Bahamas,DG Weakley,NH Ekanayake,J West,0,0,"",""
ball,1,23.4,Bahamas,DG Weakley,NH Ekanayake,J West,2,0,"",""
ball,1,23.5,Bahamas,DG Weakley,NH Ekanayake,J West,4,1,"",""
ball,1,23.6,Bahamas,DG Weakley,NH Ekanayake,J West,0,1,"",""
ball,1,23.7,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,24.1,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,24.2,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,1,"",""
ball,1,24.3,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,24.4,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,24.5,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,24.6,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,24.7,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,25.1,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,25.2,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,25.3,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,25.4,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,25.5,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,25.6,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,26.1,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,26.2,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,26.3,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,1,0,"",""
ball,1,26.4,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,0,"",""
ball,1,26.5,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,0,"",""
ball,1,26.6,Bahamas,NH Ekanayake,DG Weakley,JJ Tucker,0,0,"",""
ball,1,27.1,Bahamas,DG Weakley,NH Ekanayake,J West,0,0,"",""
ball,1,27.2,Bahamas,DG Weakley,NH Ekanayake,J West,0,1,"",""
ball,1,27.3,Bahamas,NH Ekanayake,DG Weakley,J West,1,0,"",""
ball,1,27.4,Bahamas,DG Weakley,NH Ekanayake,J West,1,0,"",""
ball,1,27.5,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,27.6,Bahamas,NH Ekanayake,DG Weakley,J West,0,0,"",""
ball,1,28.1,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,1,"",""
ball,1,28.2,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,28.3,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,28.4,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,28.5,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,28.6,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,28.7,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,1,"",""
ball,1,28.8,Bahamas,DG Weakley,NH Ekanayake,JJ Tucker,0,0,"",""
ball,1,29.1,Bahamas,NH Ekanayake,DG Weakley,J Gilbert,0,0,"",""
ball,1,29.2,Bahamas,NH Ekanayake,DG Weakley,J Gilbert,2,0,"",""
ball,1,29.3,Bahamas,NH Ekanayake,DG Weakley,J Gilbert,0,0,"",""
ball,1,29.4,Bahamas,NH Ekanayake,DG Weakley,J Gilbert,0,0,"",""
ball,1,29.5,Bahamas,NH Ekanayake,DG Weakley,J Gilbert,1,0,"",""
ball,1,29.6,Bahamas,DG Weakley,NH Ekanayake,J Gilbert,0,0,"",""
ball,1,30.1,Bahamas,NH Ekanayake,DG Weakley,RJ Trott,3,0,"",""
